,Ticker,freeCashFlow_RA,freeCashFlow_A,netChangeInCash_A,preferredStock_M,revenue,revenue_A,grossProfit_A,ebitda,eps,netIncome,dividendsPaid_A,Score
94,ARCB,0.07632850000000001,0.058238000000000005,-0.0036280833333333326,0.0,1.244218,1.0203568333333333,0.12041241666666663,0.09470241666666668,1.9391666666666667,0.04856916666666666,-0.0022605,3.3041117083333336
95,ADBE,1.82975,1.66225,0.11533333333333333,0.0,4.655,3.98525,3.4962500000000003,1.6110833333333339,2.6591666666666667,1.2608333333333333,0.0,12.08625
96,SAIA,0.02639925,0.023370500000000002,0.015595166666666665,0.0,0.655726,0.5752605833333333,0.11054150000000001,0.11847141666666666,2.3674999999999997,0.06241641666666667,0.0,3.2019172083333327
97,AMD,0.80975,0.603,0.2804166666666667,0.0,5.599,4.149833333333334,1.9065833333333335,0.8964166666666666,0.465,0.581,0.0,8.717375
98,BA,0.5725,-1.8182500000000001,0.40900000000000003,0.0,19.98,15.587666666666669,0.06950000000000003,-0.871,-3.0141666666666667,-1.7580000000000002,-0.09649999999999999,15.04791666666667
99,LULU,0.022998750000000012,0.13021808333333335,-0.01946075000000001,0.0,1.856889,1.4495555833333331,0.8206752500000002,0.3545894166666666,1.6741666666666666,0.21643708333333334,0.0,4.042211249999999
100,AZO,0.623992,0.6771365,0.012359666666666685,0.0,3.690982,3.8995680000000004,2.0381698333333333,0.8854478333333334,27.453333333333333,0.558261,0.0,33.792881083333334
101,STLD,0.88787525,0.37819791666666674,0.020543500000000003,0.0,4.826287,4.189258833333333,1.0762485833333333,0.9306094166666666,3.279166666666667,0.6363215833333333,-0.054948250000000004,10.247509541666666
102,ALGT,0.015204249999999999,0.024744666666666665,0.009055083333333333,0.0,0.611549,0.4166510833333333,0.04730533333333333,0.05193741666666666,-0.18499999999999997,-0.0024789166666666688,-0.00094675,0.4070178750000001
103,ODFL,0.2291085,0.19057549999999998,-0.01810491666666667,0.0,1.491659,1.2942945,0.7588019999999999,0.41120333333333337,2.2400000000000007,0.257018,-0.02482275,4.637482083333334
104,WST,0.181,0.11272499999999998,0.03793333333333334,0.0,0.7087,0.65545,0.25665,0.18870833333333337,1.7891666666666666,0.132825,-0.012775000000000002,3.051925
105,SPSC,0.020043,0.02046433333333333,-0.00136325,0.0,0.122018,0.09573175,0.0636835,0.02077608333333333,0.3383333333333332,0.01210975,0.0,0.5082005416666665
106,SI,0.057509500000000005,-0.01682983333333334,0.14388041666666668,2e-06,0.114122,0.050128833333333324,0.0,-0.046186666666666674,-2.1350000000000002,0.018123583333333335,-0.0009233333333333333,-2.0450342500000005
107,BILL,0.017808249999999998,0.00033758333333333345,0.29947666666666667,0.0,0.260006,0.12096233333333334,0.09432950000000001,-0.040418083333333334,-0.5261583333333334,-0.0516345,0.0,-0.06937325000000011
108,COIN,-0.4123475000000001,0.9983438333333332,0.6371024166666667,0.0,0.629108,1.0259278333333335,0.8564846666666667,0.05909558333333335,0.5649464532905405,0.110124,0.0,0.3718767866238739
109,VSAT,0.108146,-0.009590166666666664,0.007923749999999999,0.0,0.651444,0.6276511666666668,0.19089108333333335,0.09469116666666666,-0.10311366666666666,-0.012292416666666672,0.0,0.851195625
110,TXRH,0.066401,0.05081458333333333,0.005498500000000001,0.0,1.009529,0.8230823333333332,0.17833516666666663,0.08297475,0.6616666666666667,0.047153,-0.019398666666666668,1.8107886666666666
111,IAC,-0.055636,-0.006899166666666667,0.04877808333333331,0.0,1.246453,1.0060005000000003,0.6658208333333333,0.03439008333333333,-0.29896375000000003,-0.027978916666666662,0.0,1.0434265000000003
112,ALNY,-0.13401525,-0.16162066666666666,0.02657733333333333,0.0,0.335035,0.19787983333333337,0.16801566666666667,-0.18300775,-1.9974999999999998,-0.2368550833333333,0.0,-2.0674742499999996
113,ROG,0.003158499999999998,0.01587858333333333,0.005750083333333333,0.0,0.223704,0.22555333333333336,0.08016449999999999,0.042925750000000006,1.2208333333333332,0.022896,-0.00038974999999999996,1.5313229999999998
114,SKYT,-0.0092895,-0.0080718,0.0015688000000000004,0.0,0.065087,0.043314090909090906,0.0034236363636363635,-0.0025634545454545454,-0.22419090909090908,-0.009344000000000002,-0.0003692,-0.18095749999999997
115,NEN,0.00538493175,0.0045645995,0.0039986403333333335,0.0,0.01707381,0.013408984249999999,0.010052401749999999,0.004330657628802917,0.0552708515612634,0.00020396974999999998,-0.001263244166666667,0.0802974309400663
116,HCP,-0.023365,-0.017341,0.09968480000000003,0.0,0.135788,0.08404266666666667,0.06808758333333333,-0.05224291666666667,-0.3371287197828648,-0.0580624,0.0,-0.2640570114495315
117,LPLA,0.40974525,0.20921141666666668,0.1756201666666667,0.0,0.935111,0.6176289166666666,0.07792591666666666,0.28088525,1.8608333333333331,0.14818399999999995,-0.018261416666666665,3.36679675
